,,,,,Monthly temperature data for the year 2011 of San Antonio International Airport
,,,,,
,,,,,
,,,,,
Time,Temperature (° F),,,,
Jan,Avg,,,,
7,87.8,,,,
8,87.8,,,,
9,87.6,,,,
10,86.4,,,,
11,87.7,,,,
12,87.9,,,,
13,87.2,,,,
14,87,,,,
15,89,,,,
16,87.8,,,,
17,87.4,,,,
18,88.4,,,,
19,89.5,,,,
20,89.3,,,,
21,85.9,,,,
22,87.8,,,,
23,88.7,,,,
24,89.4,,,,
25,84,,,,
26,85.9,,,,
27,91.8,,,,
28,96,,,,
29,93.8,,,,
30,88.9,,,,
31,86.8,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Time,Temperature (° F),,,,
Sep,Avg,,,,
1,85.4,,,,
2,89.4,,,,
3,89.8,,,,
4,87.8,,,,
5,82.5,,,,
6,76.8,,,,
7,78.1,,,,
8,80.6,,,,
9,80.8,,,,
10,82,,,,
11,84.8,,,,
12,87.3,,,,
13,86.6,,,,
14,84.3,,,,
15,83.2,,,,
16,77.6,,,,
17,77.6,,,,
18,76.3,,,,
19,80,,,,
20,79.5,,,,
21,80.6,,,,
22,81.3,,,,
23,78.9,,,,
24,81,,,,
25,86.6,,,,
26,85.1,,,,
27,83,,,,
28,82.9,,,,
29,80.8,,,,
30,79.5,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Time,Temperature (° F),,,,
Oct,Avg,,,,
1,75.3,,,,
2,72.5,,,,
3,71.8,,,,
4,71.4,,,,
5,74.2,,,,
6,78.2,,,,
7,79.5,,,,
8,76.5,,,,
9,66.8,,,,
10,70,,,,
11,73.1,,,,
12,78.7,,,,
13,77.2,,,,
14,70.7,,,,
15,71.5,,,,
16,73,,,,
17,74.8,,,,
18,67.2,,,,
19,61.6,,,,
20,64.6,,,,
21,71.3,,,,
22,74.2,,,,
23,74.2,,,,
24,74,,,,
25,73.3,,,,
26,74,,,,
27,69,,,,
28,55.5,,,,
29,53.4,,,,
30,59.7,,,,
31,63.5,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Time,Temperature (° F),,,,
Nov,Avg,,,,
1,65.3,,,,
2,69.3,,,,
3,54.3,,,,
4,50.8,,,,
5,61.3,,,,
6,73.3,,,,
7,74,,,,
8,67,,,,
9,56.6,,,,
10,52.6,,,,
11,53.1,,,,
12,64.4,,,,
13,69.9,,,,
14,73.3,,,,
15,69.9,,,,
16,68.6,,,,
17,53.5,,,,
18,59.3,,,,
19,72.3,,,,
20,75.8,,,,
21,75.7,,,,
22,68.8,,,,
23,60.1,,,,
24,60,,,,
25,64.8,,,,
26,60.5,,,,
27,48.2,,,,
28,48.6,,,,
29,53.2,,,,
30,51,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Time,Temperature (° F),,,,
Dec,Avg,,,,
1,58.9,,,,
2,62.5,,,,
3,67,,,,
4,54.3,,,,
5,44.5,,,,
6,37.6,,,,
7,39.7,,,,
8,44.3,,,,
9,53.6,,,,
10,49.1,,,,
11,48.1,,,,
12,53.6,,,,
13,64.6,,,,
14,70.8,,,,
15,61.8,,,,
16,53.1,,,,
17,53.6,,,,
18,57.1,,,,
19,64.5,,,,
20,52.9,,,,
21,48.8,,,,
22,52.4,,,,
23,43.7,,,,
24,44.6,,,,
25,46,,,,
26,48,,,,
27,50,,,,
28,50.7,,,,
29,53.5,,,,
30,57.8,,,,
31,58.8,,,,
